date,portfolio_returns,portfolio_costs,portfolio_net,equity,ret_EURUSD,ret_USDJPY,ret_GBPUSD,ret_AUDUSD
2021-02-25,-9.882567754764524e-06,2.055753843642344e-08,-9.903125293200948e-06,117.41952347554083,-0.0001,0.0,0.0,0.0
2021-02-26,0.0,0.0,0.0,117.41952347554083,-0.0,0.0,-0.0,-0.0
2021-03-01,0.0,1.9279643160680787e-07,-1.9279643160680787e-07,117.4195008374757,-0.0,0.0,-0.0,-0.0
2021-03-02,0.0,2.4975513291794483e-09,-2.4975513291794483e-09,117.41950054421449,-0.0,0.0,-0.0,0.0
2021-03-03,0.0,5.218545643232667e-07,-5.218545643232667e-07,117.41943926831217,0.0,-0.0,0.0,0.0
2021-03-04,0.0,3.3741568531366205e-07,-3.3741568531366205e-07,117.4193996491516,-0.0,0.0,-0.0,-0.0
2021-03-05,0.0,1.0199151767970594e-07,-1.0199151767970594e-07,117.41938767336883,-0.0,0.0,-0.0,-0.0
2021-03-08,-0.0003785445203741122,3.430983612663641e-09,-0.0003785479513577249,117.37493880471541,-0.003618086584833324,0.0,-0.0,-0.0
2021-03-09,-0.0006294943050820448,6.137919337491527e-07,-0.0006301080970157939,117.30097990538783,-0.006198454709617107,0.0,-0.0,-0.0
2021-03-10,0.003134769035434879,1.4046256891316653e-06,0.0031333644097457473,117.66852662105167,0.0038977317898649666,-0.0,0.0,0.00788792193756559
2021-03-11,-3.276371530760122e-05,2.7006912639035618e-05,-5.977062794663684e-05,117.66149349932597,-0.0001,-0.0,0.0,-0.0001
2021-03-12,0.0,1.2216537088384494e-08,-1.2216537088384494e-08,117.66149206190997,0.0,0.0,0.0,0.0
2021-03-15,0.0,0.0,0.0,117.66149206190997,-0.0,0.0,-0.0,-0.0
2021-03-16,0.0,0.0,0.0,117.66149206190997,-0.0,0.0,-0.0,-0.0
2021-03-17,0.0,0.0,0.0,117.66149206190997,-0.0,-0.0,0.0,-0.0
2021-03-18,0.0,1.125213555426953e-06,-1.125213555426953e-06,117.66135966760413,0.0,-0.0,0.0,0.0
2021-03-19,0.0,4.831114193418154e-07,-4.831114193418154e-07,117.66130282405767,-0.0,0.0,-0.0,-0.0
2021-03-22,0.0,2.8633804261449237e-09,-2.8633804261449237e-09,117.66130248714859,-0.0,-0.0,-0.0,-0.0
2021-03-23,0.0,0.0,0.0,117.66130248714859,0.0,-0.0,0.0,0.0
2021-03-24,0.0,0.0,0.0,117.66130248714859,-0.0,-0.0,-0.0,-0.0
2021-03-25,-0.001474614673764058,0.0,-0.001474614673764058,117.48779740396684,-0.0023918192834598948,0.0,-0.003125288704746498,-0.001901298766037407
2021-03-26,0.001509532027960594,5.162016563579227e-05,0.0014579118623248017,117.6590842574805,-0.0030854165403151335,0.0,0.004399696805660991,0.00039487766173373906
2021-03-29,0.0009403889388481801,2.39186198348768e-05,0.0009164703190133033,117.76691531596477,0.0009666010928697233,0.0,-0.0001,0.005711967369874227
2021-03-30,-2.2411721694124044e-05,3.7252189044193324e-06,-2.6136940598543377e-05,117.76383724909469,-0.0001,0.0,-0.0,-0.0001
2021-03-31,0.0,7.974145293945801e-09,-7.974145293945801e-09,117.76383631002874,-0.0,0.0,-0.0,-0.0
2021-04-01,0.0,3.497056408519682e-06,-3.497056408519682e-06,117.76342448325028,0.0,0.0,0.0,-0.0
2021-04-02,0.0,1.2370944675418882e-09,-1.2370944675418882e-09,117.7634243375658,0.0,-0.0,0.0,0.0
2021-04-05,0.0,0.0,0.0,117.7634243375658,-0.0,0.0,-0.0,0.0
2021-04-06,0.0,0.0,0.0,117.7634243375658,0.0,-0.0,0.0,0.0
2021-04-07,0.0,0.0,0.0,117.7634243375658,0.0,-0.0,-0.0,0.0
2021-04-08,-6.014489022236676e-06,1.7902888921954742e-06,-7.80477791443215e-06,117.76250522019241,-5.251397349116385e-05,0.0,-0.0,-0.0
2021-04-09,-0.0004053246749289784,3.730635819862438e-10,-0.0004053250479925604,117.71477312711231,-0.003538931154240421,-0.0,-0.0,0.0
2021-04-12,0.00014092162145044488,7.727955015063501e-07,0.00014014882594893854,117.73127071436294,0.0012733601511303316,0.0,-0.0,-0.0
2021-04-13,-1.1506582731145547e-05,8.793455331293387e-07,-1.2385928264274885e-05,117.7298125032894,-0.0001,-0.0,0.0,0.0
2021-04-14,0.0,0.0,0.0,117.7298125032894,0.0,-0.0,0.0,0.0
2021-04-15,0.0,0.0,0.0,117.7298125032894,0.0,-0.0,0.0,0.0
2021-04-16,0.0001262451201447154,0.0,0.0001262451201447154,117.7446753176135,0.0010971556290383267,-0.0,0.0,0.0
2021-04-19,-1.1477412373241491e-05,5.834071580811673e-08,-1.1535753089049607e-05,117.74331704411148,-0.0001,0.0,0.0,-0.0
2021-04-20,0.0,0.0,0.0,117.74331704411148,0.0,-0.0,0.0,0.0
2021-04-21,0.00011142603614954953,0.0,0.00011142603614954953,117.75643671521279,0.0009708288987623104,0.0,-0.0,-0.0
2021-04-22,-1.1439397333797581e-05,7.603007888780516e-08,-1.1515427412685386e-05,117.75508069951341,-0.0001,-0.0,-0.0,0.0
2021-04-23,0.0,5.702991832931548e-10,-5.702991832931548e-10,117.7550806323578,-0.0,-0.0,-0.0,-0.0
2021-04-26,0.0,0.0,0.0,117.7550806323578,0.0,-0.0,0.0,0.0
2021-04-27,6.596260508214391e-05,0.0,6.596260508214391e-05,117.76284806423796,0.0005766122021124587,0.0,0.0,0.0
2021-04-28,-1.1425224921415146e-05,2.8915123948165813e-08,-1.1454140045363312e-05,117.7614991920841,-0.0001,0.0,0.0,-0.0
2021-04-29,0.0,4.2681370829234654e-07,-4.2681370829234654e-07,117.76144892986193,0.0,-0.0,0.0,0.0
2021-04-30,7.153574404711725e-05,6.763760430464339e-09,7.152898028668678e-05,117.76987228622096,0.0006276763569032951,0.0,-0.0,-0.0
2021-05-03,-9.642387056000405e-06,1.531808513821786e-05,-2.4960472194218268e-05,117.76693269459844,-0.0001,0.0,-0.0,-0.0
2021-05-04,0.0010988849420656907,1.4223976770622241e-05,0.0010846609652950684,117.89466988949479,0.0,-0.0,0.005975883984317576,0.0
2021-05-05,-1.2957784210723672e-05,1.0861750045560342e-05,-2.3819534256284012e-05,117.89186169336674,-0.0,0.0,-0.0001,-0.0
2021-05-06,0.0,1.3562365606417105e-07,-1.3562365606417105e-07,117.89184570444145,-0.0,-0.0,0.0,0.0
2021-05-07,0.0,5.773469305123109e-05,-5.773469305123109e-05,117.88503925491645,0.0,-0.0,-0.0,0.0
2021-05-10,0.0,0.00016871843765489173,-0.00016871843765489173,117.86514987527048,0.0,-0.0,0.0,0.0
2021-05-11,0.0007276406238158035,0.0,0.0007276406238158035,117.95091334645184,0.0023767285752496095,0.0,0.0,-0.0
2021-05-12,-2.997417043510039e-05,1.2820942239188894e-06,-3.125626465901928e-05,117.94722664148752,-0.0001,-0.0,0.0,-0.0
2021-05-13,0.0,2.3199289488795573e-09,-2.3199289488795573e-09,117.94722636785832,-0.0,0.0,-0.0,-0.0
2021-05-14,0.0,0.0,0.0,117.94722636785832,-0.0,-0.0,-0.0,-0.0
2021-05-17,0.0,0.0,0.0,117.94722636785832,0.0,-0.0,0.0,0.0
2021-05-18,0.0,0.0,0.0,117.94722636785832,0.0,-0.0,0.0,-0.0
2021-05-19,0.0,0.0,0.0,117.94722636785832,0.0,-0.0,0.0,0.0
2021-05-20,0.0012241426033496885,0.0,0.0012241426033496885,118.09161059260217,0.004083833562572014,0.0,-0.0,-0.0
2021-05-21,-2.8413895547131353e-05,3.1228697048869494e-06,-3.15367652520183e-05,118.08788636520066,-0.0001,-0.0,0.0,0.0
2021-05-24,0.0,1.5151201849805673e-10,-1.5151201849805673e-10,118.08788634730894,-0.0,0.0,-0.0,-0.0
2021-05-25,0.0,2.224554011949098e-07,-2.224554011949098e-07,118.0878600780208,0.0,-0.0,0.0,0.0
2021-05-26,0.0,4.3196515306931365e-10,-4.3196515306931365e-10,118.08786002701095,0.0,-0.0,-0.0,0.0
